"Group","Component","R2_full","pureA_pos","pureB_pos","unexpl_pos","shared_pos"
"invasive","total",0.0348408223046085,0.0300184455489663,0.00369538473348352,0.965159177695392,0.00112699202215871
"invasive","turnover",0.104075031379523,0.0838838924838025,0.0163567963716049,0.895924968620477,0.00383434252411585
"invasive","nestedness",0.0133407516538194,0.00900538402915796,0.00510989359879144,0.986659248346181,0
"noninvasive","total",0.301716544281954,0.296532081659583,0.000279878144278101,0.698283455718046,0.00490458447809294
"noninvasive","turnover",0.208597934200442,0.198604427160854,0.00963940140208452,0.791402065799558,0.000354105637503821
"noninvasive","nestedness",0.0464593122634293,0.0383856673167758,0.00649228349272313,0.953540687736571,0.00158136145393029
"native","total",0.323335205798542,0.314282325845026,0.005189102556591,0.676664794201458,0.00386377739692556
"native","turnover",0.345269968007777,0.309942580611682,0.0345804242967535,0.654730031992223,0.000746963099341413
"native","nestedness",0.0807557085473697,0.0377711683276073,0.043236181147679,0.91924429145263,0
"all","total",0.333254796465435,0.32833958429838,0.00325440623995121,0.666745203534565,0.00166080592710394
"all","turnover",0.316706599715787,0.289804113317654,0.0269809112565967,0.683293400284213,0
"all","nestedness",0.0638429934245013,0.0332935899057958,0.0302463428393658,0.936157006575499,0.000303060679339717
