"Group","Component","R_squared","Coefficient","p_value","Variable","Significance"
"invasive","total",0.0363239359488051,0.469303135763589,0.001001001001001,"Int","**"
"invasive","total",0.0363239359488051,-0.00282195587197707,0.677677677677678,"geo1",""
"invasive","total",0.0363239359488051,0.00216098344322748,0.572572572572573,"est.time1",""
"invasive","total",0.0363239359488051,-0.0022687573593911,0.653653653653654,"area_ha1",""
"invasive","total",0.0363239359488051,0.00751554788724779,0.188188188188188,"dem_mean1",""
"invasive","total",0.0363239359488051,0.0108210361623766,0.033033033033033,"map_mean1","*"
"invasive","total",0.0363239359488051,0.0203939728104317,0.003003003003003,"mat_mean1","**"
"invasive","total",0.0363239359488051,0.0465688130675003,0.0910910910910911,"gdp_mean1",""
"invasive","total",0.0363239359488051,-0.0241563683125916,0.281281281281281,"pd_mean1",""
"invasive","total",0.0363239359488051,-0.0168283072975326,0.3003003003003,"ul_mean1",""
"invasive","turnover",0.107186318084172,0.178703161437607,0.001001001001001,"Int","**"
"invasive","turnover",0.107186318084172,0.00668664035617915,0.421421421421421,"geo1",""
"invasive","turnover",0.107186318084172,-0.005622854289044,0.254254254254254,"est.time1",""
"invasive","turnover",0.107186318084172,-0.0123498498518832,0.0850850850850851,"area_ha1",""
"invasive","turnover",0.107186318084172,-0.00897886046703297,0.245245245245245,"dem_mean1",""
"invasive","turnover",0.107186318084172,0.0161071102289517,0.016016016016016,"map_mean1","*"
"invasive","turnover",0.107186318084172,0.0245095385941809,0.00700700700700701,"mat_mean1","**"
"invasive","turnover",0.107186318084172,0.0139981032240572,0.684684684684685,"gdp_mean1",""
"invasive","turnover",0.107186318084172,-0.00433255164980132,0.900900900900901,"pd_mean1",""
"invasive","turnover",0.107186318084172,-0.000503120904734311,0.986986986986987,"ul_mean1",""
"invasive","nestedness",0.0122104338085718,0.290599974325982,0.45045045045045,"Int",""
"invasive","nestedness",0.0122104338085718,-0.00950859622815579,0.418418418418418,"geo1",""
"invasive","nestedness",0.0122104338085718,0.00778383773227149,0.22022022022022,"est.time1",""
"invasive","nestedness",0.0122104338085718,0.010081092492492,0.253253253253253,"area_ha1",""
"invasive","nestedness",0.0122104338085718,0.0164944083542805,0.11011011011011,"dem_mean1",""
"invasive","nestedness",0.0122104338085718,-0.00528607406657462,0.527527527527528,"map_mean1",""
"invasive","nestedness",0.0122104338085718,-0.00411556578374995,0.70970970970971,"mat_mean1",""
"invasive","nestedness",0.0122104338085718,0.0325707098434366,0.491491491491492,"gdp_mean1",""
"invasive","nestedness",0.0122104338085718,-0.0198238166627851,0.602602602602603,"pd_mean1",""
"invasive","nestedness",0.0122104338085718,-0.016325186392797,0.513513513513513,"ul_mean1",""
"noninvasive","total",0.327079122519451,0.573680399756438,0.001001001001001,"Int","**"
"noninvasive","total",0.327079122519451,0.00968555804257898,0.219219219219219,"geo1",""
"noninvasive","total",0.327079122519451,6.04243152204001e-05,0.982982982982983,"est.time1",""
"noninvasive","total",0.327079122519451,0.000687395032940042,0.914914914914915,"area_ha1",""
"noninvasive","total",0.327079122519451,0.0103219635469958,0.125125125125125,"dem_mean1",""
"noninvasive","total",0.327079122519451,0.00270876706587336,0.636636636636637,"map_mean1",""
"noninvasive","total",0.327079122519451,0.07068437908598,0.001001001001001,"mat_mean1","**"
"noninvasive","total",0.327079122519451,0.0163302299392562,0.603603603603604,"gdp_mean1",""
"noninvasive","total",0.327079122519451,-0.0158482426462488,0.53953953953954,"pd_mean1",""
"noninvasive","total",0.327079122519451,-0.000166095861543994,0.991991991991992,"ul_mean1",""
"noninvasive","turnover",0.207427713376276,0.315922797164016,0.001001001001001,"Int","**"
"noninvasive","turnover",0.207427713376276,0.0471248310106222,0.001001001001001,"geo1","**"
"noninvasive","turnover",0.207427713376276,-0.00423741808419931,0.456456456456456,"est.time1",""
"noninvasive","turnover",0.207427713376276,-0.0126725417110268,0.119119119119119,"area_ha1",""
"noninvasive","turnover",0.207427713376276,-0.0222322792346289,0.022022022022022,"dem_mean1","*"
"noninvasive","turnover",0.207427713376276,0.0115670706821836,0.128128128128128,"map_mean1",""
"noninvasive","turnover",0.207427713376276,0.0297931175392929,0.002002002002002,"mat_mean1","**"
"noninvasive","turnover",0.207427713376276,0.0370332738759888,0.355355355355355,"gdp_mean1",""
"noninvasive","turnover",0.207427713376276,-0.0470392985321768,0.162162162162162,"pd_mean1",""
"noninvasive","turnover",0.207427713376276,0.00877142349499525,0.682682682682683,"ul_mean1",""
"noninvasive","nestedness",0.0458129169806686,0.257757602592423,0.005005005005005,"Int","**"
"noninvasive","nestedness",0.0458129169806686,-0.037439272968043,0.001001001001001,"geo1","**"
"noninvasive","nestedness",0.0458129169806686,0.00429784239941984,0.510510510510511,"est.time1",""
"noninvasive","nestedness",0.0458129169806686,0.0133599367439667,0.125125125125125,"area_ha1",""
"noninvasive","nestedness",0.0458129169806686,0.0325542427816245,0.001001001001001,"dem_mean1","**"
"noninvasive","nestedness",0.0458129169806686,-0.00885830361631093,0.278278278278278,"map_mean1",""
"noninvasive","nestedness",0.0458129169806686,0.0408912615466876,0.001001001001001,"mat_mean1","**"
"noninvasive","nestedness",0.0458129169806686,-0.0207030439367369,0.685685685685686,"gdp_mean1",""
"noninvasive","nestedness",0.0458129169806686,0.031191055885931,0.445445445445445,"pd_mean1",""
"noninvasive","nestedness",0.0458129169806686,-0.00893751935653791,0.703703703703704,"ul_mean1",""
"native","total",0.352234421579559,0.563437948625418,0.001001001001001,"Int","**"
"native","total",0.352234421579559,0.0110962812169746,0.145145145145145,"geo1",""
