...1,univ.name,campus,campus02,province,city,city_name,district,citycode,adcode,lng,lat,est.time,area_ha,i,SHI_D_ID,dem_mean,map_mean,mat_mean,wet_area,wet_num,gdp_mean,pd_mean,ul_mean
97,河南科技大学,HAUST,haust,河南省,洛阳市,洛阳市,洛龙区,379,410311,112.421504,34.602275,1952,273.33,190,947,635.416844768177,748.429806259315,12.8176276080477,177.2388,1,1330.90980985074,436.53306884765624,0.02768005125205551
98,武汉理工大学,WUT,wut,湖北省,武汉市,武汉市,洪山区,27,420111,114.350233,30.521252,1898,266.67,174,1228,39.5413006688694,1487.00532564742,17.2013636754711,1194.4359,5,4282.19400797163,1320.6734375,0.0980880840195116
99,中国人民大学,ruc,ruc,北京市,北京市,北京市,海淀区,10,110108,116.312503,39.971025,1937,69.65,41,292,365.723123618241,595.638209266007,10.8944800384416,224.3493,2,6020.96950239213,1236.15224609375,0.1939137573076416
100,北方民族大学,nmu,nmu,宁夏回族自治区,银川市,银川市,西夏区,951,640105,106.107882,38.49765,1984,103.47,301,697,1275.66807289909,221.300811834747,9.77651993505325,107.6175,5,932.213208577692,272.5526092529297,0.04043887923593384
101,上饶师范学院,snu,snu,江西省,上饶市,上饶市,信州区,793,361102,117.972183,28.418214,1958,113.33,6,2027,214.515986257699,2215.31545559782,18.0232164709774,1046.8224,4,370.913980392198,297.92706298828125,0.00822231859064701
102,承德医学院,CDYXY,cdyxy,河北省,承德市,承德市,双桥区,314,130802,117.956531,41.033113,1945,74.89,137,251,941.836125005736,532.957289282678,5.91673641535346,49.8573,4,161.840935520733,87.44341735839843,0.00348445048124435
103,重庆邮电大学,CQYDDX,cqyddx,重庆市,重庆市,重庆市,南岸区,23,500108,106.606747,29.532703,1950,253.33,293,1649,546.767114236496,1310.7526596682,17.2196145809733,1092.1662,22,1734.96189151623,593.0087158203125,0.02842595428123667
104,吉林农业大学,JLNYU,jlnyu,吉林省,长春市,长春市,南关区,431,220102,125.411261,43.812239,1948,347.62,305,27,200.806397447737,575.171290119949,5.62321946696184,339.5934,3,763.095512923929,374.5053405761719,0.03744579592314477
105,南阳师范学院,NJYSFXY,njysfxy,河南省,南阳市,南阳市,卧龙区,377,411303,112.490729,32.974942,1951,164,50,972,307.237559662841,934.707270013569,14.9016797829037,558.2988,3,624.962093243666,389.31060180664065,0.01916569991807382
106,内蒙古农业大学,NMGNYU,nmgnyu,内蒙古自治区,呼和浩特市,呼和浩特市,赛罕区,471,150105,111.700676,40.805289,1952,155.03,64,294,1380.76728463153,448.289322085423,5.43623651010795,58.0131,2,674.715803786688,168.4626495361328,0.01769907935409356
107,青海大学,QHDX,qhdx,青海省,西宁市,西宁市,城北区,971,630105,101.749406,36.728189,1958,215.99,265,841,3122.38680851064,678.46567788899,0.776524112829879,6.4233,1,610.244640088834,292.77529296875,0.02082335745310348
108,上海交通大学,SHJTU,shjtu,上海市,上海市,上海市,闵行区,21,310112,121.436248,31.023988,1896,300,5,1002,4.86672040843746,1392.76821705426,16.5958021284983,582.3279,2,22473.3647475776,4394.816943359375,0.4511118398479232
109,苏州大学,SUZDX,suzdx,江苏省,苏州市,苏州市,姑苏区,512,320508,120.641106,31.304279,1900,305.73,249,989,5.69227518593644,1220.41091185925,16.554127897141,2809.5876,5,7488.22922719794,1320.97861328125,0.2074273769207752
110,陕西师范大学,SXSFDX,sxsfdx,陕西省,西安市,西安市,雁塔区,29,610113,108.951309,34.204039,1944,186.67,266,955,1040.18414288539,830.753377427526,12.0041021671827,39.5667,2,2625.06291006796,834.4872802734375,0.08206228558688265
111,塔里木大学,TLMDX,tlmdx,新疆维吾尔自治区,阿拉尔市,阿克苏地区,NA,997,659002,81.29216,40.546227,1958,259.87,313,189,1506.12727488771,197.054047148583,8.63512142715644,297.9945,4,25.5282865083485,18.648987579345704,0.00200719120452903
112,文山学院,WSXY,wsxy,云南省,文山壮族苗族自治州,文山壮族苗族自治州,麻栗坡县,876,532624,104.249087,23.355335,1947,58.33,143,3891,1364.45631408086,1239.6630113055,17.7340674835908,80.5896,1,111.612519937016,111.7846176147461,0.00174524533337833
113,西藏大学,XZDX,xzdx,西藏自治区,拉萨市,拉萨市,城关区,891,540102,91.17918,29.644675,1951,93.33,140,1139,4824.31965944272,776.112007316645,-1.92520358816304,966.3984,0,42.814919908491,18.87154197692871,0.00250283362581703
114,中南大学,ZNDX,zndx,湖南省,长沙市,长沙市,岳麓区,731,430104,112.93061,28.168544,2000,317,306,2396,169.634987132683,1772.04832364774,17.6108915000958,189.0045,5,3127.0313945651,626.5217041015625,0.03856786258811588
